City,Industry,average_salary
Phoenix,"Biomedical Research",54285.000000
"Baltimore Area","biomedical research",53000.000000
Louisville,"Biomedical Research",45760.000000
Philadelphia,"Biomedical Research",31500.000000
Houston,"biomedical research",31000.000000
Boston,Biopharma,132000.000000
Cambridge,Biopharma,121000.000000
Philadelphia,Biopharmaceuticals,150000.000000
"New Berlin","Bioscience Company",47500.000000
"San Francisco ",Biotech,208000.000000
"New York City",Biotech,135000.000000
Boston,Biotech,132600.000000
Tarrytown,Biotech,130000.000000
"Richmond ",Biotech,130000.000000
Cambridge,Biotech,129433.666667
"South San Francisco",Biotech,127333.333333
Tucson,Biotech,125000.000000
Denver,Biotech,125000.000000
"Bay Area",Biotech,120000.000000
"San Francisco",Biotech,116500.000000
"San diego ",Biotech,110900.000000
"Cambridge, MA",biotech,110000.000000
Rockville,Biotech,102366.666667
"New haven",Biotech,95000.000000
"San Diego",Biotech,93500.000000
Alameda,Biotech,93000.000000
"Seattle Area",Biotech,92000.000000
Seattle,Biotech,88250.000000
"Ann Arbor",Biotech,80975.000000
Burlington,Biotech,80000.000000
"Watertown ",Biotech,79695.000000
Coralville,BioTech,74000.000000
Munich,Biotech,72000.000000
Davis,Biotech,70000.000000
Watertown,Biotech,65000.000000
"Los Angeles",Biotech,65000.000000
Amsterdam,Biotech,61500.000000
Minneapolis,Biotech,55000.000000
"Lake Forest Park",Biotech,36400.000000
"Cambridge ","Biotech ",123000.000000
"Boston Area","Biotech ",105000.000000
Copenhagen,"Biotech (R&D) ",556200.000000
"San Diego","Biotech / life sciences ",196000.000000
"South San Francisco","Biotech / Pharmaceutical Industry",160000.000000
Boston,"Biotech / Research",100000.000000
Toronto,"Biotech industry",215250.000000
Rockville,"Biotech manufacturing",92000.000000
Toronto,"Biotech pharmaceuticals",116300.000000
Emeryville,"Biotech R&D",130000.000000
"South San Francisco","Biotech research ",112000.000000
"Cambridge, MA","Biotech/Drug Development",90000.000000
Cambridge/Boston,Biotech/Pharma,190000.000000
Bedminster,Biotech/Pharma,175000.000000
Bothell,Biotech/Pharma,145000.000000
Waltham,Biotech/Pharma,130000.000000
Cambridge,Biotech/pharma,120500.000000
"Bay Area",Biotech/Pharma,116000.000000
Seattle,Biotech/pharma,109000.000000
Boston,Biotech/Pharma,107000.000000
Boston,Biotech/pharmaceuticals,222000.000000
Beltsville,Biotech/Pharmaceuticals,90000.000000
"San Francisco","Biotech/pharmaceuticals ",227000.000000
Boston,Biotech/software,105000.000000
"St. Louis",Biotechnology,120000.000000
Boston,Biotechnology,108500.000000
Seattle,Biotechnology,107000.000000
Lexington,Biotechnology,93000.000000
Rockville,Biotechnology,90800.000000
Gaithersburg,Biotechnology,85000.000000
Arvada,Biotechnology,82000.000000
Cambridge,Biotechnology,76500.000000
Philadelphia,Biotechnology,72000.000000
"Traveling over all of Europe",Biotechnology,57500.000000
Minneapolis,Biotechnology,55000.000000
Bryan,Biotechnology,52000.000000
"San Carlos, CA","Biotechnology ",200000.000000
"Cambridge ","Biotechnology ",187416.666667
devens,"biotechnology ",134000.000000
"Vancouver ","Biotechnology ",130000.000000
Sacramento,"Biotechnology ",58000.000000
"Toronto, Ontario, Canada","Biotechnology, Research and Development",95000.000000
Boston,"Biotechnology/Life Sciences",84000.000000
Louisville,Bitech,175000.000000
"New York ","Book publishing",74000.000000
"New York","Book publishing",53500.000000
"New York City","Book Publishing",52666.666667
Salem,"Book Publishing",39600.000000
"Atlanta ","Brain research ",28000.000000
Free,Brewing,57000.000000
"New Delhi","Business or Consulting",2100000.000000
"Makati City","Business or Consulting",600000.000000
Stockholm,"Business or Consulting",512000.000000
Bangalore,"Business or Consulting",343300.000000
Alexandria,"Business or Consulting",296750.000000
N/A,"Business or Consulting",291250.000000
"Cape Town","Business or Consulting",276000.000000
Roanoke,"Business or Consulting",275000.000000
"Bethesda ","Business or Consulting",250000.000000
Fresno,"Business or Consulting",221000.000000
TBD,"Business or Consulting",220000.000000
"various ","Business or Consulting",220000.000000
"Stafford ","Business or Consulting",220000.000000
"Washington DC suburbs","Business or Consulting",220000.000000
"Primary WFH or NYC; however travel to client site weekly in the "before times"""","Business or Consulting",214000.000000
Auckland,"Business or Consulting",205000.000000
"Mount Prospect","Business or Consulting",200000.000000
"Canberra ","Business or Consulting",186000.000000
Canada,"Business or Consulting",185000.000000
"Richland ","Business or Consulting",185000.000000
Seattle,"Business or Consulting",183478.260870
Draper,"Business or Consulting",182000.000000
Wellington,"Business or Consulting",180000.000000
"Outside Boston","Business or Consulting",180000.000000
Baltimore,"Business or Consulting",175760.000000
"Miami ","Business or Consulting",175000.000000
Edmonds,"Business or Consulting",175000.000000
"Santa Clara","Business or Consulting",170000.000000
Phoenix,"Business or Consulting",168650.000000
"San Francisco ","Business or Consulting",167000.000000
"Full time remote employee, pre-pandemic","Business or Consulting",165000.000000
Concord,"Business or Consulting",164000.000000
Hackensack,"Business or Consulting",160000.000000
Rochester,"Business or Consulting",160000.000000
Sydney,"Business or Consulting",160000.000000
"New Castle","Business or Consulting",149990.000000
Cleveland,"Business or Consulting",145820.000000
Detroit,"Business or Consulting",145000.000000
"New York","Business or Consulting",142650.000000
"San Jose","Business or Consulting",142250.000000
"St Louis","Business or Consulting",140000.000000
"outside philadelphia ","Business or Consulting",140000.000000
"I work remotely but in non-COVID times I work at client sites throughout the US","Business or Consulting",140000.000000
"NYC (but I work remote)","Business or Consulting",140000.000000
"Sydney ","Business or Consulting",140000.000000
"Oklahoma City","Business or Consulting",137000.000000
"Boston ","Business or Consulting",136666.666667
"San Francisco","Business or Consulting",133673.333333
Indianapolis,"Business or Consulting",133466.666667
"Home plus travel to customers. Near Chicago","Business or Consulting",132500.000000
"New York City ","Business or Consulting",132500.000000
"Bay Area, CA","Business or Consulting",130000.000000
Starkville,"Business or Consulting",130000.000000
Woodbridge,"Business or Consulting",129000.000000
"Las Vegas","Business or Consulting",128750.000000
"Washington ","Business or Consulting",127666.666667
Rockville,"Business or Consulting",127500.000000
Oakland,"Business or Consulting",125300.000000
Silverton,"Business or Consulting",125000.000000
NA,"Business or Consulting",123000.000000
Bellevue,"Business or Consulting",122000.000000
Cincinnati,"Business or Consulting",120122.857143
"London ","Business or Consulting",120000.000000
canberra,"Business or Consulting",120000.000000
Medina,"Business or Consulting",119000.000000
NY,"Business or Consulting",119000.000000
"Atlanta ","Business or Consulting",118968.500000
"San Diego","Business or Consulting",118620.000000
"Des Moines","Business or Consulting",118400.000000
Fairfax,"Business or Consulting",118000.000000
Kalamazoo,"Business or Consulting",116000.000000
"Work From Home","Business or Consulting",115500.000000
Boston,"Business or Consulting",115257.142857
Remote/London,"Business or Consulting",115000.000000
Reston,"Business or Consulting",113900.000000
Summit,"Business or Consulting",113500.000000
Philadelphia,"Business or Consulting",112685.714286
"New York ","Business or Consulting",112250.000000
Tampa,"Business or Consulting",112000.000000
"Washington, D.C.","Business or Consulting",110500.000000
"White River Junction, VT","Business or Consulting",110000.000000
"NYC ","Business or Consulting",110000.000000
"New York City","Business or Consulting",109642.857143
Columbus,"Business or Consulting",109500.000000
NYC,"Business or Consulting",109166.666667
"Arlington ","Business or Consulting",108850.000000
Melbourne,"Business or Consulting",108666.666667
Chicago,"Business or Consulting",108024.571429
"Austin ","Business or Consulting",108000.000000
"Los Angeles","Business or Consulting",107957.692308
Toronto,"Business or Consulting",107907.368421
Arlington,"Business or Consulting",106750.000000
Washington,"Business or Consulting",106625.000000
Charlotte,"Business or Consulting",106000.000000
"Washington, DC","Business or Consulting",105886.153846
"NYC, currently WFH","Business or Consulting",105500.000000
Hamburg,"Business or Consulting",105000.000000
"Chehalis ","Business or Consulting",105000.000000
Milford,"Business or Consulting",105000.000000
"Bay Area","Business or Consulting",105000.000000
Portland,"Business or Consulting",103850.000000
Kenosha,"Business or Consulting",103500.000000
Nashville,"Business or Consulting",103480.000000
"A city small enough to not answer this question","Business or Consulting",103000.000000
"Chicago ","Business or Consulting",103000.000000
"Washington DC","Business or Consulting",102104.545455
Edmonton,"Business or Consulting",102000.000000
Atlanta,"Business or Consulting",101951.681818
DC,"Business or Consulting",101200.000000
Irvine,"Business or Consulting",101050.000000
"Baltimore ","Business or Consulting",101000.000000
Pittsburgh,"Business or Consulting",100822.857143
"Portland, ME area","Business or Consulting",100000.000000
"South Bend","Business or Consulting",100000.000000
Austin,"Business or Consulting",99681.818182
Remote,"Business or Consulting",99500.000000
Madison,"Business or Consulting",98500.000000
Leadville,"Business or Consulting",97500.000000
"Vancouver ","Business or Consulting",97500.000000
"Small state - no answer","Business or Consulting",97000.000000
Redmond,"Business or Consulting",96846.666667
Durango,"Business or Consulting",96000.000000
"Washington D.C.","Business or Consulting",95500.000000
Cambridge,"Business or Consulting",95500.000000
"Falls Church","Business or Consulting",94230.000000
Charleston,"Business or Consulting",94000.000000
Lexington,"Business or Consulting",94000.000000
Jax,"Business or Consulting",94000.000000
"Philadelphia ","Business or Consulting",93633.333333
Raleigh,"Business or Consulting",93333.333333
"Cincinnati ","Business or Consulting",93000.000000
"Salt Lake City ","Business or Consulting",93000.000000
Burlington,"Business or Consulting",92500.000000
"Field employee","Business or Consulting",91000.000000
"Colorado Springs ","Business or Consulting",91000.000000
Mobile,"Business or Consulting",91000.000000
Sacramento,"Business or Consulting",90116.000000
"Richmond ","Business or Consulting",90000.000000
"Ann Arbor","Business or Consulting",90000.000000
"Florham Park ","Business or Consulting",90000.000000
"Appleton ","Business or Consulting",90000.000000
Plano,"Business or Consulting",90000.000000
Mackay,"Business or Consulting",90000.000000
Brooklyn,"Business or Consulting",90000.000000
Denver,"Business or Consulting",89861.538462
Albuquerque,"Business or Consulting",89000.000000
"Boston, MA","Business or Consulting",88500.000000
Dallas,"Business or Consulting",88336.400000
"Fully Remote - customers around the country","Business or Consulting",88200.000000
Minneapolis,"Business or Consulting",87872.222222
"Brooklyn ","Business or Consulting",87550.000000
"Chicago suburbs","Business or Consulting",87500.000000
"Western Canada","Business or Consulting",87000.000000
Berkeley,"Business or Consulting",87000.000000
"Kansas City, MO","Business or Consulting",86400.000000
Houston,"Business or Consulting",86211.111111
"Minneapolis ","Business or Consulting",85000.000000
Hoboken,"Business or Consulting",85000.000000
Lancaster,"Business or Consulting",85000.000000
"Gaithersburg ","Business or Consulting",85000.000000
Fredericksburg,"Business or Consulting",85000.000000
"Silver Spring","Business or Consulting",85000.000000
"Mt Prospect","Business or Consulting",83400.000000
Bethesda,"Business or Consulting",82071.428571
"New Orleans","Business or Consulting",82000.000000
Bremen,"Business or Consulting",82000.000000
"St. Paul","Business or Consulting",80400.000000
Lakewood,"Business or Consulting",80000.000000
Springfield,"Business or Consulting",80000.000000
Gaithersburg,"Business or Consulting",80000.000000
Alberta,"Business or Consulting",80000.000000
"New Orleans ","Business or Consulting",80000.000000
Mechelen,"Business or Consulting",80000.000000
Harrisburg,"Business or Consulting",79000.000000
Calgary,"Business or Consulting",78750.000000
"Overland Park","Business or Consulting",78000.000000
"Falls Church, VA","Business or Consulting",77600.000000
"Vancouver, WA","Business or Consulting",77000.000000
Wyomissing,"Business or Consulting",77000.000000
Orlando,"Business or Consulting",75424.000000
"St. Louis","Business or Consulting",75000.000000
"Panhandle region","Business or Consulting",75000.000000
"Richmond, VA","Business or Consulting",75000.000000
London,"Business or Consulting",74463.600000
Escondido,"Business or Consulting",74000.000000
D.C.,"Business or Consulting",74000.000000
Ottawa,"Business or Consulting",73750.000000
"North Coast","Business or Consulting",73216.000000
"Los Angeles ","Business or Consulting",73000.000000
"Chapel Hill","Business or Consulting",72500.000000
Bannockburn,"Business or Consulting",72500.000000
Swansea,"Business or Consulting",72000.000000
DFW,"Business or Consulting",72000.000000
Amsterdam,"Business or Consulting",72000.000000
Cumberland,"Business or Consulting",72000.000000
Columbia,"Business or Consulting",71746.666667
"Salt Lake City","Business or Consulting",71500.000000
"Saint Petersburg ","Business or Consulting",71400.000000
"New York, New York","Business or Consulting",71000.000000
"Tysons Corner","Business or Consulting",70199.000000
Munich,"Business or Consulting",70000.000000
Whitehorse,"Business or Consulting",70000.000000
Parsippany,"Business or Consulting",70000.000000
Gainesville,"Business or Consulting",70000.000000
Middletown,"Business or Consulting",70000.000000
Tulsa,"Business or Consulting",70000.000000
"Mount laurel ","Business or Consulting",70000.000000
Bloomfield,"Business or Consulting",70000.000000
"Albuquerque ","Business or Consulting",70000.000000
Waterloo,"Business or Consulting",70000.000000
Carlsbad,"Business or Consulting",69000.000000
"Grand Rapids","Business or Consulting",68640.000000
Woodstock,"Business or Consulting",68500.000000
Glasgow,"Business or Consulting",68000.000000
Fürth,"Business or Consulting",67700.000000
Boulder,"Business or Consulting",67075.000000
Chico,"Business or Consulting",67000.000000
"Waddell ","Business or Consulting",67000.000000
Brighton,"Business or Consulting",66850.000000
"Albany ","Business or Consulting",66250.000000
Various,"Business or Consulting",66000.000000
"Portland, ME","Business or Consulting",65000.000000
Sharon,"Business or Consulting",65000.000000
"Portage ","Business or Consulting",65000.000000
Livingston,"Business or Consulting",65000.000000
"Alsace (remote to Paris)","Business or Consulting",65000.000000
York,"Business or Consulting",65000.000000
Providence,"Business or Consulting",65000.000000
Antwerp,"Business or Consulting",63560.000000
Herndon,"Business or Consulting",63000.000000
"District of Columbia","Business or Consulting",62500.000000
Buffalo,"Business or Consulting",62000.000000
Braintree,"Business or Consulting",62000.000000
"Pittsburgh ","Business or Consulting",61822.500000
Dublin,"Business or Consulting",61750.000000
Bristol,"Business or Consulting",61750.000000
"Washington, DC ","Business or Consulting",61000.000000
Vancouver,"Business or Consulting",60702.800000
"Rochester Hills","Business or Consulting",60000.000000
Hillsborough,"Business or Consulting",60000.000000
"Denver ","Business or Consulting",60000.000000
"Washington D.C. ","Business or Consulting",60000.000000
"Cleveland ","Business or Consulting",60000.000000
Richmond,"Business or Consulting",59044.000000
birmingham,"Business or Consulting",59000.000000
Utrecht,"Business or Consulting",57098.000000
"Washington, D.C. ","Business or Consulting",57000.000000
"North Andover","Business or Consulting",57000.000000
Victoria,"Business or Consulting",57000.000000
Maassluis,"Business or Consulting",56721.000000
"Fort Collins","Business or Consulting",56000.000000
"Elmhurst, IL","Business or Consulting",55000.000000
Cork,"Business or Consulting",55000.000000
"Phoenix ","Business or Consulting",55000.000000
"Santa Fe","Business or Consulting",55000.000000
Corning,"Business or Consulting",55000.000000
Moline,"Business or Consulting",55000.000000
"San Clemente","Business or Consulting",54000.000000
Norman,"Business or Consulting",54000.000000
Berlin,"Business or Consulting",53700.000000
"St Paul","Business or Consulting",53000.000000
Southfield,"Business or Consulting",53000.000000
Edinburgh,"Business or Consulting",52000.000000
Vienna,"Business or Consulting",51800.000000
Knoxville,"Business or Consulting",51028.000000
"Asheville, NC","Business or Consulting",51000.000000
Manchester,"Business or Consulting",49666.666667
Paris,"Business or Consulting",49320.000000
"Burlington ","Business or Consulting",49120.000000
Minnespolis,"Business or Consulting",48000.000000
Cologne,"Business or Consulting",48000.000000
Milwaukee,"Business or Consulting",46600.000000
"El Paso","Business or Consulting",45760.000000
Halifax,"Business or Consulting",45700.000000
"Tampa Bay region","Business or Consulting",45000.000000
"Stone Mountain","Business or Consulting",45000.000000
Montreal,"Business or Consulting",43000.000000
Oxford,"Business or Consulting",43000.000000
"Elkton, VA","Business or Consulting",42000.000000
"San Antonio ","Business or Consulting",40000.000000
Fayetteville,"Business or Consulting",40000.000000
Memphis,"Business or Consulting",40000.000000
Brussels,"Business or Consulting",40000.000000
"Arlington Heights","Business or Consulting",40000.000000
Toledo,"Business or Consulting",39500.000000
"Charlottesville ","Business or Consulting",39000.000000
Pozna?,"Business or Consulting",37200.000000
"London, UK","Business or Consulting",35000.000000
Amman,"Business or Consulting",34000.000000
"Kuala Lumpur","Business or Consulting",34000.000000
Nottingham,"Business or Consulting",32000.000000
Madrid,"Business or Consulting",31300.000000
Cardiff,"Business or Consulting",30500.000000
"Newcastle upon Tyne ","Business or Consulting",29000.000000
Southampton,"Business or Consulting",28000.000000
"Cluj-Napoca ","Business or Consulting",24000.000000
Mission,"Business or Consulting",24000.000000
"Tunbridge Wells","Business or Consulting",23000.000000
Berwick,"Business or Consulting",22880.000000
Manchesyer,"Business or Consulting",21500.000000
Nicosia,"Business or Consulting",21450.000000
"Orlando ","Business or Consulting",19583.000000
Haverhill,"Business or Consulting",17500.000000
"Sebastopol ","Business or Consulting",12000.000000
Lagos,"Business or Consulting",7390.000000
"Bloomfield Hills","Business or Consulting",55.000000
bilbao,"Business or Consulting",51.000000
Noida,"Business or Consulting",10.000000
"Greenville ","Business or Consulting",0.000000
Leeds,"Business Process Outsourcing",40000.000000
"San Antonio","Business Process Outsourcing ",53680.000000
Glendale,"Business Services",50000.000000
"San Antonio","Call center",70000.000000
Memphis,"CALL CENTER",25480.000000
Seattle,"Cancer research, not for profit",71700.000000
"Santa Fe",Cannabis,85000.000000
"Los Angeles",Cannabis,75000.000000
Boulder,Cannabis,65000.000000
"St. Catharines",Cannabis,60000.000000
Fraser,Cannabis,42000.000000
Remote,"Cannabis compliance",100000.000000
Portland,"Career & Technical Training",46800.000000
"San Diego",Caregiver,33280.000000
Portland,"CBD Manufacturing",60000.000000
"Atlanta ",Chaplain,40000.000000
"Leeds, UK",Charity,17400.000000
Basel,Chemical,110000.000000
Chester,"Chemical Manufacturing",47902.000000
Houston,"Chemicals ",102000.000000
"King of Prussia","Chemicals/ Materials",109400.000000
Houston,Chemistry,107000.000000
Everett,chemistry,41766.000000
"Hamilton, Ontario","Child and Yout Care",36672.000000
Renton,"Child care",40700.000000
"Los Angeles","Child care",38000.000000
Kingston,"Child Care Resource and Referral Agency",3200.000000
Seattle,Childcare,48750.000000
"Eagle River",Childcare,28100.000000
Bath,Childcare,18720.000000
Detroit,"Childcare ",90000.000000
"Milton Keynes ","childcare ",19000.000000
"nr. London","Childcare (0-5 so does not come under Primary education)",19760.000000
N/A,Church,50000.000000
"Washington, DC",Church,45000.000000
"Boston MA","Church ministry",55000.000000
"Baltimore (but I work fully remotely)","Clean Energy (eg. energy efficiency, renewables, etc.)",200000.000000
"Williston ",Cleaning,41600.000000
"DC metro area",Clergy,108150.000000
Seattle,Clergy,63000.000000
Tacoma,Clergy,50000.000000
Orlando,Clergy,42000.000000
"San Francisco","Clinical & Translational Reserach",76000.000000
Houston,"Clinical Research",126000.000000
Toronto,"Clinical Research",110000.000000
Durham,"clinical research",89000.000000
Portland,"Clinical research",69826.000000
Aurora,"clinical research",63000.000000
Cincinnati,"Clinical Research ",81100.000000
"Los Angeles","Clinical research ",58500.000000
Dallas,"Clinical Research ",58500.000000
"Madrid ","Clinical research and development ",65000.000000
Seattle,"Clinical Research Manager - academic institution",82000.000000
"Milton Keynes","Clinical trials",68000.000000
"Chapel Hill","clinical trials research coordination",44000.000000
Baltimore,coaching,44000.000000
Irvington,"Coffee - Importing",95000.000000
Atlanta,"College Athletics",37500.000000
"New York City","Commercial Building Material Distribution",400000.000000
Vinalhaven,"Commercial Fisherman",26000.000000
Spoka,"Commercial furniture",40000.000000
"Columbus ","Commercial Landscaping ",42840.000000
Phoenix,"Commercial Real Estate",127500.000000
Chicago,"Commercial Real Estate",105000.000000
Atlanta,"Commercial Real Estate",75000.000000
Charlotte,"Commercial Real Estate",64250.000000
Dallas,"Commercial Real Estate ",55000.000000
Raleigh,"Commercial Real Estate ",49330.000000
Richmond,"Commercial Real Estate Data and Analytics/Research",68700.000000
Edmonton,"Commercial real estate tenancy",43187.000000
"Wilton, Connecticut","commodities trading",75000.000000
Arlington,"Communication Research",90456.000000
Columbus,Communications,85000.000000
Camden,Communications,76500.000000
London,Communications,50220.000000
Ottawa,Communications,49000.000000
"Near Albany",Communications,39520.000000
Ghent,Communications,23010.000000
"Warwick ","Communications ",100000.000000
Quebec,Communications/publications,36920.000000
"San Jose","Community Foundation",84000.000000
Sarasota,"Community Management",64000.000000
Chicago,Compliance,112000.000000
Portland,Compliance,54313.000000
"Cincinnati ","Compliance ",83000.000000
Sapporo,"Computing or Tech",8640000.000000
Tokyo,"Computing or Tech",5758750.000000
Newyork,"Computing or Tech",2600000.000000
Colombo,"Computing or Tech",2500000.000000
Pune,"Computing or Tech",2442500.000000
Bangalore,"Computing or Tech",1925000.000000
"Mar del Plata","Computing or Tech",1500000.000000
germany,"Computing or Tech",1500000.000000
Johannesburg,"Computing or Tech",1360000.000000
Brno,"Computing or Tech",1300000.000000
Tijuana,"Computing or Tech",1300000.000000
Prague,"Computing or Tech",862500.000000
Malmö,"Computing or Tech",840000.000000
Oslo,"Computing or Tech",839833.333333
Mumbai,"Computing or Tech",816666.666667
Copenhagen,"Computing or Tech",713500.000000
"South Orange","Computing or Tech",603000.000000
Stockholm,"Computing or Tech",540371.428571
Singapore,"Computing or Tech",522707.600000
"Foster City","Computing or Tech",520000.000000
"Cleveland ","Computing or Tech",510000.000000
"Twin Bridges, CA","Computing or Tech",504456.000000
Uppsala,"Computing or Tech",503000.000000
Gothenburg,"Computing or Tech",472666.666667
"Cape Town","Computing or Tech",462000.000000
Canberra,"Computing or Tech",460000.000000
Trosa,"Computing or Tech",406800.000000
Shanghai,"Computing or Tech",390000.000000
"Mobile ","Computing or Tech",350000.000000
Pietermaritzburg,"Computing or Tech",288000.000000
"Tel Aviv","Computing or Tech",282428.571429
"Bay Area","Computing or Tech",252785.714286
Jos,"Computing or Tech",250000.000000
Paramus,"Computing or Tech",245000.000000
"Silicon Valley","Computing or Tech",240000.000000
"Hod Hasharon","Computing or Tech",240000.000000
"Rural Washington State","Computing or Tech",240000.000000
Sebastopol,"Computing or Tech",235000.000000
"Full remote position","Computing or Tech",235000.000000
"Truckee, CA","Computing or Tech",235000.000000
"Santa Fe","Computing or Tech",232500.000000
"Greater New York Metro Area","Computing or Tech",230000.000000
D.C.,"Computing or Tech",220000.000000
"Rural area, remote worker","Computing or Tech",220000.000000
"Portland (Remote)","Computing or Tech",210000.000000
"Menlo Park","Computing or Tech",209000.000000
"Charlotte ","Computing or Tech",205000.000000
"Seattle, WA ","Computing or Tech",205000.000000
Reno,"Computing or Tech",204250.000000
"SF Bay Area","Computing or Tech",203047.500000
Evansville,"Computing or Tech",200000.000000
"St Loui","Computing or Tech",200000.000000
Ashland,"Computing or Tech",200000.000000
"Sunnyvale ","Computing or Tech",200000.000000
Norwalk,"Computing or Tech",200000.000000
"Boston (suburb)","Computing or Tech",200000.000000
"Bellingham (remote)","Computing or Tech",199000.000000
"Saint Helena","Computing or Tech",195000.000000
"Strasbourg ","Computing or Tech",193750.000000
"San Fransico","Computing or Tech",192000.000000
"Stockton, NJ","Computing or Tech",192000.000000
"San Luis Obispo","Computing or Tech",190000.000000
"Prince George","Computing or Tech",190000.000000
"Broomfield ","Computing or Tech",190000.000000
Metro-Detroit,"Computing or Tech",189000.000000
"Denver CO","Computing or Tech",189000.000000
Hertzliya,"Computing or Tech",187200.000000
"West Hollywood","Computing or Tech",187000.000000
"Puyallup, WA","Computing or Tech",187000.000000
" Chicago ","Computing or Tech",186000.000000
"My house","Computing or Tech",185000.000000
Dunedin,"Computing or Tech",185000.000000
"New York, NY","Computing or Tech",185000.000000
"Ft Lauderdale","Computing or Tech",185000.000000
"Remote - ","Computing or Tech",185000.000000
"Herndon, Virginia ","Computing or Tech",185000.000000
"New York City ","Computing or Tech",182500.000000
"Belo Horizonte ","Computing or Tech",182000.000000
"Bellevue, wa, usa","Computing or Tech",180000.000000
"Mountain View California","Computing or Tech",180000.000000
"Boston Metro area","Computing or Tech",180000.000000
"Wellington ","Computing or Tech",180000.000000
"Albany ","Computing or Tech",180000.000000
Gilbert,"Computing or Tech",179000.000000
"San Francisco Bay Area","Computing or Tech",176142.857143
"Denver metro","Computing or Tech",176000.000000
Cupertino,"Computing or Tech",175714.285714
"Toronto, for a global remote company","Computing or Tech",175000.000000
"Park City","Computing or Tech",175000.000000
"Rohnert Park, CA ","Computing or Tech",175000.000000
"Chevy Chase","Computing or Tech",175000.000000
"Novato, CA","Computing or Tech",175000.000000
"Los Angeles, CA","Computing or Tech",175000.000000
"Columbus, Boston","Computing or Tech",175000.000000
"Sam Mateo","Computing or Tech",172500.000000
"San Francisco","Computing or Tech",172313.327660
"WFH in Northern NJ but company HQ is in Illinois, local office NYC ","Computing or Tech",172000.000000
Littleton,"Computing or Tech",172000.000000
Burbank,"Computing or Tech",172000.000000
"Red Hook","Computing or Tech",172000.000000
"San Francisco ","Computing or Tech",171568.965517
philly,"Computing or Tech",170000.000000
Lakeland,"Computing or Tech",170000.000000
"Phoenix, AZ","Computing or Tech",170000.000000
"SF Bay","Computing or Tech",170000.000000
"Culver City","Computing or Tech",170000.000000
"Louisville (remote)","Computing or Tech",170000.000000
"WFH in San Francisco Bay Area","Computing or Tech",170000.000000
"Annapolis Valley","Computing or Tech",170000.000000
"Wilmington ","Computing or Tech",169000.000000
"Austin, TX ","Computing or Tech",169000.000000
Chantilly,"Computing or Tech",168500.000000
Herndon,"Computing or Tech",168185.714286
"Elkridge ","Computing or Tech",168067.000000
Plainfield,"Computing or Tech",167000.000000
Aurora,"Computing or Tech",167000.000000
NYC,"Computing or Tech",166114.705882
"Washington DC","Computing or Tech",165950.000000
"Prefer not to disclose","Computing or Tech",165000.000000
"Boca Raton","Computing or Tech",165000.000000
"WFH Kenilworth ","Computing or Tech",165000.000000
Seatlle,"Computing or Tech",165000.000000
Campbell,"Computing or Tech",165000.000000
"San Jose","Computing or Tech",163866.447368
Riyadh,"Computing or Tech",163200.000000
"Miami area","Computing or Tech",163000.000000
Golden,"Computing or Tech",162750.000000
Everett,"Computing or Tech",162500.000000
Wilmington,"Computing or Tech",162500.000000
Cotati,"Computing or Tech",162319.000000
"Rio de Janeiro","Computing or Tech",161500.000000
Hillsboro,"Computing or Tech",161500.000000
Boulder,"Computing or Tech",160672.727273
Seattle,"Computing or Tech",160254.906780
"Boston, MA","Computing or Tech",160000.000000
"Dallas/Fort Worth","Computing or Tech",160000.000000
Cedarville,"Computing or Tech",160000.000000
McClean,"Computing or Tech",160000.000000
Valencia,"Computing or Tech",160000.000000
Bradenton,"Computing or Tech",160000.000000
"To Much Detail","Computing or Tech",160000.000000
Blacksburg,"Computing or Tech",160000.000000
"New York","Computing or Tech",158632.000000
"Fuquay Varina","Computing or Tech",158000.000000
"Mountain View","Computing or Tech",156816.666667
Sydney,"Computing or Tech",156187.500000
"Metro Boston","Computing or Tech",156000.000000
Auckland,"Computing or Tech",155926.272727
"Twin Cities","Computing or Tech",155666.666667
Tallahassee,"Computing or Tech",155600.000000
"Remote (this shouldn't be required)","Computing or Tech",155000.000000
none,"Computing or Tech",155000.000000
"Lons Le Saunier","Computing or Tech",155000.000000
"Remote, based out of Baltimore, MD metro area","Computing or Tech",155000.000000
"West Lafayette","Computing or Tech",155000.000000
Perrysburg,"Computing or Tech",155000.000000
Plantation,"Computing or Tech",155000.000000
"Based on current client project","Computing or Tech",155000.000000
"Rural area ","Computing or Tech",154500.000000
"NYC ","Computing or Tech",154000.000000
"New York city","Computing or Tech",153406.254902
"Kuala Lumpur","Computing or Tech",153333.333333
Watertown,"Computing or Tech",153238.666667
"San Bruno","Computing or Tech",153000.000000
Sunnyvale,"Computing or Tech",152511.764706
"Watertown, MA","Computing or Tech",152300.000000
"Washington DC metro area","Computing or Tech",152000.000000
"Portland, OR","Computing or Tech",151500.000000
"St. Louis Park","Computing or Tech",151374.000000
"Denver Metro Area","Computing or Tech",151000.000000
"Dallas ","Computing or Tech",151000.000000
Shreveport,"Computing or Tech",150000.000000
Conshohocken,"Computing or Tech",150000.000000
"Remote (Olympia)","Computing or Tech",150000.000000
"Cambridge / Remote","Computing or Tech",150000.000000
Novi,"Computing or Tech",150000.000000
Hamilton,"Computing or Tech",150000.000000
"I work from home","Computing or Tech",150000.000000
